ticker,author,polarity_title,subjectivity_title,polarity_description,subjectivity_description,affected_day,Open,Close,Open-Close
AMZN,Motley Fool,0.0,0.0,0.2543083900226757,0.6249433106575965,2023-05-08 06:45:00,105.04000091552734,105.83000183105467,-0.7900009155273295
AMZN,Simply Wall St.,-0.5,0.7,0.13125,0.479861111111111,2023-05-08 06:00:00,105.04000091552734,105.83000183105467,-0.7900009155273295
AMZN,GOBankingRates,0.0,0.0,0.151176236044657,0.5026629072681704,2023-05-08 08:30:00,105.04000091552734,105.83000183105467,-0.7900009155273295
AMZN,Zacks,0.0,0.0,0.098940096699837,0.3765370776409736,2023-05-08 07:50:00,105.04000091552734,105.83000183105467,-0.7900009155273295
AMZN,Motley Fool,0.5,0.5,0.1,0.6,2023-05-08 04:31:00,105.04000091552734,105.83000183105467,-0.7900009155273295
AMZN,Motley Fool,0.0,0.0,0.0,0.0,2023-05-08 04:06:00,105.04000091552734,105.83000183105467,-0.7900009155273295
AMZN,Insider Monkey,0.3,1.0,0.75,0.25,2023-05-08 01:23:00,105.04000091552734,105.83000183105467,-0.7900009155273295
AMZN,Motley Fool,0.4166666666666667,0.1833333333333333,0.5,0.6,2023-05-07 17:00:00,,,
AMZN,Motley Fool,-0.3,0.6,0.0875,0.6875,2023-05-07 07:10:00,,,
AMZN,Motley Fool,0.0,0.0,0.1107142857142857,0.594047619047619,2023-05-07 06:35:00,,,
AMZN,Motley Fool,0.0,0.0,0.45,0.62,2023-05-06 07:39:00,,,
AMZN,Insider Monkey,0.5,0.5,0.1547066529961266,0.4850499354446722,2023-05-06 12:49:00,,,
AMZN,Motley Fool,0.25,0.25,0.20625,0.1604166666666666,2023-05-06 07:07:00,,,
AMZN,Motley Fool,0.0,0.1999999999999999,-0.0888888888888888,0.6888888888888888,2023-05-06 05:00:00,,,
AMZN,Motley Fool,0.5,0.5,0.0,0.1,2023-05-06 04:52:00,,,
AMZN,Zacks,0.0,0.0,0.1852678571428571,0.4456845238095239,2023-05-05 17:17:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,GOBankingRates,0.0,0.0,0.1504180194805195,0.4703294101731602,2023-05-05 17:00:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.0,0.0,0.2324074074074074,0.3814814814814815,2023-05-05 16:00:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,GOBankingRates,0.3,0.1,0.2528626241611679,0.4963417111475362,2023-05-05 15:10:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.5,0.5,0.0866666666666666,0.6847619047619047,2023-05-05 15:00:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,GuruFocus.com,0.0,0.0,0.1876546072974644,0.4702999381570809,2023-05-05 14:42:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,GOBankingRates,0.5,1.0,0.1048111100500806,0.3625157318172025,2023-05-05 13:00:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.0,0.0,0.5,0.5333333333333333,2023-05-05 11:45:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Reuters,0.1666666666666666,0.5,0.024212873415001,0.3894960240704921,2023-05-05 11:00:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,GOBankingRates,0.0,0.0,0.0573198198198198,0.4524774774774774,2023-05-05 11:00:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Reuters,0.1666666666666666,0.5,0.0362084385521885,0.4011731902356903,2023-05-05 10:56:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Zacks,0.5,0.5,0.168982683982684,0.6111417748917749,2023-05-05 10:40:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.0,0.0,0.25,0.5,2023-05-05 10:34:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Zacks,0.0,0.0,-0.0226757369614512,0.5564625850340136,2023-05-05 08:40:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.0,0.0,0.1289682539682539,0.4141534391534391,2023-05-05 08:27:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.0,0.0,-0.065079365079365,0.3793650793650794,2023-05-05 07:30:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Zacks,0.8,1.0,0.0817587321354444,0.3670322599774653,2023-05-05 07:03:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.1722222222222222,0.3944444444444445,0.0814814814814815,0.7296296296296297,2023-05-05 06:58:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.0,0.0,0.1523456790123456,0.3637037037037036,2023-05-05 06:35:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,-0.1124999999999999,1.0,0.5,0.5,2023-05-05 06:00:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.5,0.5,0.2458333333333333,0.4722222222222221,2023-05-05 04:30:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.0,0.0,0.1375,0.3895833333333333,2023-05-05 04:23:00,104.2699966430664,105.66000366210938,-1.3900070190429688
AMZN,Motley Fool,0.35,0.5,0.098051948051948,0.614935064935065,2023-05-05 04:15:00,104.2699966430664,105.66000366210938,-1.3900070190429688
